session_id,project_id,user_id,proj_name,user_status
789,125,864,PSA1_SLO_SVK_001,registered
790,125,869,PSA1_SLO_SVK_001,registered
791,125,870,PSA1_SLO_SVK_001,registered
792,125,868,PSA1_SLO_SVK_001,registered
796,125,852,PSA1_SLO_SVK_001,registered
797,125,859,PSA1_SLO_SVK_001,registered
805,125,862,PSA1_SLO_SVK_001,registered
806,125,874,PSA1_SLO_SVK_001,registered
816,125,868,PSA1_SLO_SVK_001,registered
818,125,861,PSA1_SLO_SVK_001,registered
821,125,875,PSA1_SLO_SVK_001,guest
823,125,852,PSA1_SLO_SVK_001,registered
830,125,856,PSA1_SLO_SVK_001,registered
835,127,887,PSA1_THA_test,guest
839,127,892,PSA1_THA_test,guest
840,1,893,PSA1_ENG_test,guest
842,65,894,PSA1_ENG_USA_114,guest
846,65,899,PSA1_ENG_USA_114,guest
847,59,900,PSA1_ENG_USA_039,guest
848,59,901,PSA1_ENG_USA_039,guest
850,59,903,PSA1_ENG_USA_039,guest
852,65,905,PSA1_ENG_USA_114,guest
854,59,907,PSA1_ENG_USA_039,guest
865,65,917,PSA1_ENG_USA_114,guest
876,125,863,PSA1_SLO_SVK_001,registered
877,125,852,PSA1_SLO_SVK_001,registered
878,125,856,PSA1_SLO_SVK_001,registered
880,125,867,PSA1_SLO_SVK_001,registered
882,125,854,PSA1_SLO_SVK_001,registered
885,125,853,PSA1_SLO_SVK_001,registered
888,125,852,PSA1_SLO_SVK_001,registered
894,124,866,PSA1_SLO_test,registered
896,125,855,PSA1_SLO_SVK_001,registered
897,125,869,PSA1_SLO_SVK_001,registered
899,125,854,PSA1_SLO_SVK_001,registered
904,65,932,PSA1_ENG_USA_114,guest
914,65,942,PSA1_ENG_USA_114,guest
920,111,949,PSA1_GER_test,guest
922,1,951,PSA1_ENG_test,guest
927,125,956,PSA1_SLO_SVK_001,guest
930,125,857,PSA1_SLO_SVK_001,registered
932,125,861,PSA1_SLO_SVK_001,registered
934,125,853,PSA1_SLO_SVK_001,registered
938,125,869,PSA1_SLO_SVK_001,registered
939,125,852,PSA1_SLO_SVK_001,registered
942,125,860,PSA1_SLO_SVK_001,registered
946,59,964,PSA1_ENG_USA_039,guest
949,146,966,PSA1_FR-CH_test,guest
960,59,969,PSA1_ENG_USA_039,guest
966,65,974,PSA1_ENG_USA_114,guest
971,59,980,PSA1_ENG_USA_039,guest
976,59,984,PSA1_ENG_USA_039,guest
977,59,985,PSA1_ENG_USA_039,guest
991,59,1000,PSA1_ENG_USA_039,guest
992,59,1001,PSA1_ENG_USA_039,guest
993,59,1002,PSA1_ENG_USA_039,guest
998,59,1008,PSA1_ENG_USA_039,guest
1001,1,1010,PSA1_ENG_test,guest
1002,4,1012,PSA1_ENG_AUS_004,guest
1005,6,1018,PSA1_ENG_AUS_006,guest
1014,26,1028,PSA1_ENG_UK_022,guest
1021,111,1032,PSA1_GER_test,guest
1022,111,1032,PSA1_GER_test,guest
1023,111,1032,PSA1_GER_test,guest
1025,111,1032,PSA1_GER_test,guest
1029,111,1032,PSA1_GER_test,guest
1030,111,1032,PSA1_GER_test,guest
1037,111,1033,PSA1_GER_test,guest
1038,111,1033,PSA1_GER_test,guest
1041,111,1033,PSA1_GER_test,guest
1044,147,1040,PSA1_FR-CH_SUI_003,guest
1045,147,1035,PSA1_FR-CH_SUI_003,guest
1049,147,1035,PSA1_FR-CH_SUI_003,guest
1051,147,1041,PSA1_FR-CH_SUI_003,guest
1052,147,1044,PSA1_FR-CH_SUI_003,guest
1056,147,1048,PSA1_FR-CH_SUI_003,guest
1060,147,1050,PSA1_FR-CH_SUI_003,guest
1063,147,1054,PSA1_FR-CH_SUI_003,guest
1064,147,1052,PSA1_FR-CH_SUI_003,guest
1067,147,1060,PSA1_FR-CH_SUI_003,guest
1078,147,1067,PSA1_FR-CH_SUI_003,guest
1083,147,1073,PSA1_FR-CH_SUI_003,guest
1087,147,1077,PSA1_FR-CH_SUI_003,guest
1089,147,1078,PSA1_FR-CH_SUI_003,guest
1090,147,1082,PSA1_FR-CH_SUI_003,guest
1104,29,1091,PSA1_ENG_UK_018,guest
